Year,Statistical_Group,Statistical_Category,Statistical_Detail,Count_IMs,Value,commodity,Stat_Redaction
2020,2-Withdrawals,3-Tax Free Withdrawals,0-Category Total,3560,137955979,Wine,FALSE
2020,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,3338,114795121,Wine,FALSE
2020,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,684,18426685,Wine,FALSE
2020,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,472,982381,Wine,FALSE
2020,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,340,3751792,Wine,FALSE
2020,2-Withdrawals,3-Tax Free Withdrawals For Export,0-Category Total,372,96501860,Wine,FALSE
2020,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,260,34427990,Wine,FALSE
2020,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,144,62073870,Wine,FALSE
2021,01-Count of IMs,01-Count of IMs,Number of Industry Members,9414,9414,Wine,FALSE
2021,1-Production,1-Production,0-Category Total,6998,774013245,Wine,FALSE
2021,1-Production,1-Production,1-Low Alcohol %,6543,665861074,Wine,FALSE
2021,1-Production,1-Production,2-Medium and High Alcohol %,1091,42992978,Wine,FALSE
2021,1-Production,1-Production,4-Artificially Carbonated Wine,247,3275952,Wine,FALSE
2021,1-Production,1-Production,5-Sparkling Wine,454,33998382,Wine,FALSE
2021,1-Production,1-Production,6-Hard Cider,931,27884858,Wine,FALSE
2021,2-Withdrawals,2-Taxable Withdrawals,0-Category Total,7194,714701724,Wine,FALSE
2021,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,6740,629131432,Wine,FALSE
2021,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,1518,9766091,Wine,FALSE
2021,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,526,3243524,Wine,FALSE
2021,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,985,30521301,Wine,FALSE
2021,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,1054,42039376,Wine,FALSE
2021,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,0-Category Total,7194,714701724,Wine,FALSE
2021,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,6898,709094095,Wine,FALSE
2021,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,882,5607629,Wine,FALSE
2021,2-Withdrawals,3-Tax Free Withdrawals,0-Category Total,3591,140764681,Wine,FALSE
2021,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,3355,106406867,Wine,FALSE
2021,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,660,26391219,Wine,FALSE
2021,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,509,1319372,Wine,FALSE
2021,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,369,6647224,Wine,FALSE
2021,2-Withdrawals,3-Tax Free Withdrawals For Export,0-Category Total,327,88037496,Wine,FALSE
2021,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,263,35260755,Wine,FALSE
2021,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,95,52776741,Wine,FALSE
2022,01-Count of IMs,01-Count of IMs,Number of Industry Members,9664,9664,Wine,FALSE
2022,1-Production,1-Production,0-Category Total,7139,775199754,Wine,FALSE
2022,1-Production,1-Production,1-Low Alcohol %,6674,660904631,Wine,FALSE
2022,1-Production,1-Production,2-Medium and High Alcohol %,1142,51207577,Wine,FALSE
2022,1-Production,1-Production,4-Artificially Carbonated Wine,257,2216171,Wine,FALSE
2022,1-Production,1-Production,5-Sparkling Wine,487,31561262,Wine,FALSE
2022,1-Production,1-Production,6-Hard Cider,974,29310113,Wine,FALSE
2022,2-Withdrawals,2-Taxable Withdrawals,0-Category Total,7224,670183200,Wine,FALSE
2022,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,6735,587702631,Wine,FALSE
2022,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,1499,10182615,Wine,FALSE
2022,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,529,2920555,Wine,FALSE
2022,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,1060,28080700,Wine,FALSE
2022,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,1118,41296700,Wine,FALSE
2022,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,0-Category Total,7224,670183200,Wine,FALSE
2022,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,6876,657585338,Wine,FALSE
2022,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,943,12597862,Wine,FALSE
2022,2-Withdrawals,3-Tax Free Withdrawals,0-Category Total,3555,150404636,Wine,FALSE
2022,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,3312,96245238,Wine,FALSE
2022,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,630,47502158,Wine,FALSE
2022,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,540,1095318,Wine,FALSE
2022,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,380,5561922,Wine,FALSE
2022,2-Withdrawals,3-Tax Free Withdrawals For Export,0-Category Total,353,76736754,Wine,FALSE
2022,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,257,36033820,Wine,FALSE
2022,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,126,40702933,Wine,FALSE
2023,01-Count of IMs,01-Count of IMs,Number of Industry Members,9703,9703,Wine,FALSE
2023,1-Production,1-Production,0-Category Total,7072,770912591,Wine,FALSE
2023,1-Production,1-Production,1-Low Alcohol %,6621,668933701,Wine,FALSE
2023,1-Production,1-Production,2-Medium and High Alcohol %,1065,42365954,Wine,FALSE
2023,1-Production,1-Production,4-Artificially Carbonated Wine,248,1694658,Wine,FALSE
2023,1-Production,1-Production,5-Sparkling Wine,484,28500106,Wine,FALSE
2023,1-Production,1-Production,6-Hard Cider,987,29418171,Wine,FALSE
2023,2-Withdrawals,2-Taxable Withdrawals,0-Category Total,7259,631060938,Wine,FALSE
2023,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,6807,551391776,Wine,FALSE
2023,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,1459,9852954,Wine,FALSE
2023,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,565,3018841,Wine,FALSE
2023,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,1074,26696714,Wine,FALSE
2023,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,1096,40100652,Wine,FALSE
