CY_Month_Number,Year,Statistical_Group,Statistical_Category,Statistical_Detail,Count_IMs,Value,commodity,Stat_Redaction
5,2012,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,,,Wine,TRUE
5,2012,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,,,Wine,TRUE
5,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,118,4754987,Wine,FALSE
5,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,27,4284607,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,1-Low Alcohol %,1486,613273142,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,2-Medium Alcohol %,1253,104133928,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,3-High Alcohol %,42,552157,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,4-Artificially Carbonated Wine,55,665723,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,5-Sparkling Wine,245,17236563,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,6-Hard Cider,37,1204448,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1-Bottled,1185,153573372,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2-Bulk,1504,583492589,Wine,FALSE
6,2012,1-Production,0-Category Total,1-Production,886,10823177,Wine,FALSE
6,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1891,54146805,Wine,FALSE
6,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1891,54146805,Wine,FALSE
6,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,889,9493685,Wine,FALSE
6,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,140,8670497,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,2624,703164410,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2624,703164410,Wine,FALSE
6,2012,01-Count of IMs,01-Count of IMs,Number of Industry Members,2805,2805,Wine,FALSE
6,2012,1-Production,1-Production,1-Low Alcohol %,804,6362334,Wine,FALSE
6,2012,1-Production,1-Production,2-Medium and High Alcohol %,,,Wine,TRUE
6,2012,1-Production,1-Production,4-Artificially Carbonated Wine,,,Wine,TRUE
6,2012,1-Production,1-Production,5-Sparkling Wine,39,3025950,Wine,FALSE
6,2012,1-Production,1-Production,6-Hard Cider,25,473398,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,1558,46494586,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,1295,4505527,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,71,103038,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,246,1390161,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,55,1653493,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,1868,51757301,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,92,2389504,Wine,FALSE
6,2012,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,754,8373428,Wine,FALSE
6,2012,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,522,889162,Wine,FALSE
6,2012,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,111,187505,Wine,FALSE
6,2012,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,19,43590,Wine,FALSE
6,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,128,4817397,Wine,FALSE
6,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,19,3853099,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,1-Low Alcohol %,2269,580179757,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,2-Medium Alcohol %,2004,101879524,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,3-High Alcohol %,54,602428,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,4-Artificially Carbonated Wine,70,756675,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,5-Sparkling Wine,312,18195209,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,6-Hard Cider,53,1550817,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1-Bottled,1724,162285435,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2-Bulk,2435,540878975,Wine,FALSE
7,2012,1-Production,0-Category Total,1-Production,633,8547885,Wine,FALSE
7,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1191,43617056,Wine,FALSE
7,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1191,43617056,Wine,FALSE
7,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,610,9315527,Wine,FALSE
7,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,130,8647572,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,1680,661327646,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1680,661327646,Wine,FALSE
7,2012,01-Count of IMs,01-Count of IMs,Number of Industry Members,1795,1795,Wine,FALSE
7,2012,1-Production,1-Production,1-Low Alcohol %,579,4385072,Wine,FALSE
7,2012,1-Production,1-Production,2-Medium and High Alcohol %,,,Wine,TRUE
7,2012,1-Production,1-Production,4-Artificially Carbonated Wine,,,Wine,TRUE
7,2012,1-Production,1-Production,5-Sparkling Wine,31,2369779,Wine,FALSE
7,2012,1-Production,1-Production,6-Hard Cider,15,409503,Wine,FALSE
