winery,wine,vintage,varietal,graph_category,general_category,region,subregion,price,price_type,critic,critic_score,cases_produced,alcohol_pct,estate,single_vineyard,product_tier,source_name,source_url,price_date,data_confidence
Vina Robles,Viognier,2023.0,Viognier,Viognier,White,Paso Robles,,30.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Vina Robles,Viognier,2024.0,Viognier,Viognier,White,Paso Robles,,30.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Cirque Du Vin,2020.0,"Cabernet Sauvignon, Petit Verdot, Malbec",Bordeaux Blend,Red,Paso Robles,,24.0,Historical listed price,,,,,False,False,Value/Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Cirque Du Vin,2021.0,"Cabernet Sauvignon, Petit Verdot, Malbec, Cab Franc",Bordeaux Blend,Red,Paso Robles,,24.0,Historical listed price,,,,,False,False,Value/Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Para Siempre,2022.0,"Cabernet Sauvignon, Petit Verdot, Malbec, Cab Franc",Bordeaux Blend,Red,Paso Robles,,55.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Cabernet Sauvignon,2023.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,24.0,Historical listed price,,,,,False,False,Value/Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Devine,2022.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,50.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Devine18,2018.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,50.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Ms Behave Malbec,2022.0,Malbec,Malbec,Red,Paso Robles,,50.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Ms Behave Malbec,2023.0,Malbec,Malbec,Red,Paso Robles,,50.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Petite Sirah,2021.0,Petite Sirah,Petite Sirah,Red,Paso Robles,,45.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Petite Sirah,2022.0,Petite Sirah,Petite Sirah,Red,Paso Robles,,45.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Petite Sirah,2023.0,Petite Sirah,Petite Sirah,Red,Paso Robles,,45.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Classic Petite Sirah,2022.0,Petite Sirah,Petite Sirah,Red,Paso Robles,,24.0,Historical listed price,,,,,False,False,Value/Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Snow,2022.0,Primitivo,Primitivo,Red,Paso Robles,,48.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,GSM,2022.0,"Grenache, Syrah, Mourvedre",Rhone Blend,Red,Paso Robles,,50.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,GSM,2023.0,"Grenache, Syrah, Mourvedre",Rhone Blend,Red,Paso Robles,,50.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
